w,k,output,index,symbol
n pu,r,889,1115,n pur
r,p,r,1116,rp
pose, ,891,1117,pose 
 ,(, ,1118, (
(i,n,893,1119,(in
n,j,n,1120,nj
je,c,895,1121,jec
cted, ,929,1122,cted 
 h,u,693,1123, hu
umo,u,900,1124,umou
ur, ,439,1125,ur 
 and ,t,1053,1126, and t
the l,i,904,1127,the li
ike,),751,1128,ike)
).,"
",907,1129,").
"
"
",T,"
",1130,"
T"
The,r,953,1131,Ther
re ,a,581,1132,re a
ar,e,347,1133,are
e ,m,291,1134,e m
man,y,1068,1135,many
y ,v,275,1136,y v
v,a,v,1137,va
ari,a,512,1138,aria
at,i,632,1139,ati
ion,s,1089,1140,ions
s o,f,607,1141,s of
f ,p,287,1142,f p
pa,s,660,1143,pas
ss,a,702,1144,ssa
ages, ,778,1145,ages 
 of ,L,681,1146, of L
Lorem I,p,960,1147,Lorem Ip
psum, ,611,1148,psum 
 a,v,300,1149, av
va,i,1137,1150,vai
il,a,924,1151,ila
able,",",1011,1152,"able,"
", b",u,459,1153,", bu"
ut, ,461,1154,ut 
 the ,m,516,1155, the m
ma,j,418,1156,maj
j,o,j,1157,jo
or,i,257,1158,ori
it,y,414,1159,ity
y ,h,275,1160,y h
hav,e,858,1161,have
e s,u,424,1162,e su
u,f,u,1163,uf
f,f,f,1164,ff
f,e,f,1165,fe
ere,d,734,1166,ered
d ,a,303,1167,d a
al,t,396,1168,alt
ter,a,387,1169,tera
ati,o,1139,1170,atio
on ,i,714,1171,on i
in ,s,841,1172,in s
some, ,1103,1173,some 
 fo,r,817,1174, for
rm,",",705,1175,"rm,"
", b",y,459,1176,", by"
y ,i,275,1177,y i
inj,e,894,1178,inje
ec,t,896,1179,ect
ted, ,646,1180,ted 
 hu,m,1123,1181, hum
mo,u,558,1182,mou
ur,",",439,1183,"ur,"
", ",o,371,1184,", o"
or ,r,818,1185,or r
ra,n,408,1186,ran
nd,o,302,1187,ndo
om,i,884,1188,omi
ise,d,513,1189,ised
d w,o,1028,1190,d wo
or,d,257,1191,ord
d,s,d,1192,ds
s ,w,268,1193,s w
wh,i,373,1194,whi
ic,h,479,1195,ich
h ,d,524,1196,h d
d,o,d,1197,do
on,',447,1198,on'
',t,',1199,'t
t l,o,1006,1200,t lo
ook, ,432,1201,ook 
 ev,e,860,1202, eve
en ,s,429,1203,en s
s,l,s,1204,sl
li,g,583,1205,lig
g,h,g,1206,gh
h,t,h,1207,ht
tl,y,563,1208,tly
y ,b,275,1209,y b
be,l,331,1210,bel
li,e,583,1211,lie
ev,a,356,1212,eva
able,.,1011,1213,able.
. I,f,434,1214,. If
f ,y,287,1215,f y
you, ,950,1216,you 
 a,r,300,1217, ar
re ,g,581,1218,re g
g,o,g,1219,go
oi,n,679,1220,oin
ng ,t,684,1221,ng t
to u,s,726,1222,to us
se ,a,528,1223,se a
a pa,s,939,1224,a pas
ssa,g,1144,1225,ssag
ge ,o,785,1226,ge o
of L,o,608,1227,of Lo
orem ,I,1060,1228,orem I
Ipsum,",",1040,1229,"Ipsum,"
", ",y,371,1230,", y"
you ,n,1216,1231,you n
n,e,n,1232,ne
ee,d,332,1233,eed
d to, ,990,1234,d to 
 be, ,641,1235, be 
 s,u,269,1236, su
ur,e,439,1237,ure
e t,h,363,1238,e th
he,r,290,1239,her
re ,i,581,1240,re i
is,n,267,1241,isn
n,',n,1242,n'
't, ,1199,1243,'t 
 an,y,404,1244, any
y,t,y,1245,yt
th,i,289,1246,thi
ing ,e,489,1247,ing e
em,b,259,1248,emb
b,a,b,1249,ba
ar,r,347,1250,arr
ras,s,533,1251,rass
sin,g,683,1252,sing
g ,h,299,1253,g h
hi,d,575,1254,hid
d,d,d,1255,dd
den, ,881,1256,den 
 in ,t,515,1257, in t
the ,m,867,1258,the m
m,i,m,1259,mi
i,d,i,1260,id
dd,l,1255,1261,ddl
le, ,398,1262,le 
 of ,t,681,1263, of t
tex,t,809,1264,text
t,.,t,1265,t.
. ,A,320,1266,. A
Al,l,587,1267,All
l t,h,808,1268,l th
he ,L,336,1269,he L
Lorem Ip,s,1147,1270,Lorem Ips
sum ,g,688,1271,sum g
ge,n,554,1272,gen
ne,r,1232,1273,ner
ra,t,408,1274,rat
tor,s,788,1275,tors
s on, ,888,1276,s on 
 the ,I,516,1277, the I
I,n,I,1278,In
nte,r,738,1279,nter
r,n,r,1280,rn
ne,t,1232,1281,net
t t,e,415,1282,t te
en,d,333,1283,end
d to ,r,1234,1284,d to r
re,p,258,1285,rep
pe,a,306,1286,pea
at ,p,667,1287,at p
pr,e,293,1288,pre
ed,e,501,1289,ede
e,f,e,1290,ef
fi,n,451,1291,fin
ne,d,1232,1292,ned
d ,c,303,1293,d c
ch,u,498,1294,chu
un,k,378,1295,unk
k,s,k,1296,ks
s a,s,617,1297,s as
s n,e,703,1298,s ne
ec,e,896,1299,ece
ess,a,491,1300,essa
ar,y,347,1301,ary
y,",",y,1302,"y,"
", m",a,743,1303,", ma"
ak,i,419,1304,aki
ing ,t,489,1305,ing t
thi,s,1246,1306,this
s ,t,268,1307,s t
the ,f,867,1308,the f
fi,r,451,1309,fir
rs,t,604,1310,rst
t t,r,415,1311,t tr
r,u,r,1312,ru
u,e,u,1313,ue
e ,g,291,1314,e g
gen,e,1272,1315,gene
er,a,358,1316,era
at,o,632,1317,ato
or ,o,818,1318,or o
on ,t,714,1319,on t
the ,I,867,1320,the I
In,t,1278,1321,Int
ter,n,387,1322,tern
net,.,1281,1323,net.
. It, ,503,1324,. It 
 use,s,793,1325, uses
s a, ,617,1326,s a 
 di,c,708,1327, dic
ct,i,476,1328,cti
ion,a,1089,1329,iona
ary, ,1301,1330,ary 
 of ,o,681,1331, of o
ove,r,1097,1332,over
r ,2,359,1333,r 2
2,0,2,1334,20
00, ,368,1335,00 
 L,a,321,1336, La
ati,n,1139,1337,atin
n ,w,334,1338,n w
w,o,w,1339,wo
ord,s,1191,1340,ords
"s, ",c,719,1341,"s, c"
co,m,539,1342,com
mb,i,410,1343,mbi
in,e,295,1344,ine
ed ,w,514,1345,ed w
wi,t,565,1346,wit
th, ,289,1347,th 
 a ,h,393,1348, a h
han,d,499,1349,hand
d,f,d,1350,df
f,u,f,1351,fu
ul, ,510,1352,ul 
 of ,m,681,1353, of m
mod,e,806,1354,mode
el, ,474,1355,el 
 s,e,269,1356, se
ent,e,656,1357,ente
en,c,333,1358,enc
ce, ,362,1359,ce 
 st,r,1074,1360, str
ru,c,1312,1361,ruc
ct,u,476,1362,ctu
ure,s,1237,1363,ures
"s, ",t,719,1364,"s, t"
to ,g,416,1365,to g
gene,r,1315,1366,gener
rat,e,1274,1367,rate
e L,o,794,1368,e Lo
orem I,p,1228,1369,orem Ip
psum ,w,1148,1370,psum w
whi,c,1194,1371,whic
ch ,l,816,1372,ch l
look,s,943,1373,looks
s ,r,268,1374,s r
rea,s,635,1375,reas
so,n,464,1376,son
n,a,n,1377,na
able., ,1213,1378,able. 
 T,h,952,1379, Th
he ,g,336,1380,he g
gener,a,1366,1381,genera
at,e,632,1382,ate
ed ,L,514,1383,ed L
Lorem Ips,u,1270,1384,Lorem Ipsu
um i,s,962,1385,um is
s t,h,1307,1386,s th
her,e,1239,1387,here
ef,o,1290,1388,efo
ore, ,559,1389,ore 
 a,l,300,1390, al
l,w,l,1391,lw
wa,y,505,1392,way
y,s,y,1393,ys
s ,f,268,1394,s f
f,r,f,1395,fr
re,e,258,1396,ree
e ,f,291,1397,e f
fr,o,1395,1398,fro
om, ,884,1399,om 
 r,e,634,1400, re
e,p,e,1401,ep
pe,t,306,1402,pet
